"filename", "language", "Markdown", "CMake", "YAML", "HTML", "C++", "JSON", "Dart", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\timeline_entry.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 6, 11, 76
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\vehicle\vehicle_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 4, 74
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 13, 9, 72
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 6, 124
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 1, 4, 144
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 4, 24, 218
